Create_time,Create_year,Create_month,Create_day,Create_hour,Likes,Comments,Saves,Views,Shares,Duration(sec),Video Height,Video Width
2023-11-11 15:04:17,2023,11,11,15,87,3,3,7674,3,14,960,544
2023-11-11 14:32:37,2023,11,11,14,271,14,6,20900,2,28,960,544
2023-11-11 11:44:26,2023,11,11,11,156,1,11,7885,0,20,1024,576
2023-11-11 10:18:15,2023,11,11,10,4349,43,17,299600,40,11,1024,576
2023-11-10 16:35:46,2023,11,10,16,8579,72,32,389800,113,121,1024,576
2023-11-10 16:14:13,2023,11,10,16,1370,21,13,47700,60,105,1024,576
2023-11-09 15:42:42,2023,11,9,15,107600,2236,317,5800000,616,82,1024,576
2023-11-09 15:26:03,2023,11,9,15,1724,6,4,307900,43,73,1024,576
2023-11-08 16:12:10,2023,11,8,16,13000,180,44,1100000,306,17,1024,576
2023-11-06 20:39:34,2023,11,6,20,24100,348,44,1500000,771,13,1024,576
2023-10-31 13:56:03,2023,10,31,13,176,9,23,11900,6,22,1024,576
2023-10-29 22:07:18,2023,10,29,22,6851,146,45,761800,92,15,1024,576
2023-10-27 11:29:23,2023,10,27,11,68400,447,204,9300000,1212,11,1024,576
2023-10-27 11:17:53,2023,10,27,11,14300,85,92,2100000,336,14,1024,576
2023-10-25 11:31:24,2023,10,25,11,14000,96,61,2000000,282,14,1024,576
2023-10-14 21:56:38,2023,10,14,21,4489,36,32,509100,93,20,1024,576
2023-10-13 17:11:30,2023,10,13,17,168900,3308,12900,7600000,10100,64,1024,576
2023-10-10 22:51:44,2023,10,10,22,17500,44,91,674700,111,57,1024,576
2023-10-10 17:59:39,2023,10,10,17,29300,102,154,3300000,556,75,1024,576
2023-10-10 15:45:00,2023,10,10,15,6576,45,37,603500,159,15,1024,576
2023-10-09 17:30:01,2023,10,9,17,31500,276,72,1400000,951,14,1024,576
2023-10-09 12:28:07,2023,10,9,12,4939,34,18,233800,178,5,576,1024
2023-10-07 10:47:13,2023,10,7,10,19300,195,71,1800000,578,8,1024,576
2023-09-08 21:32:34,2023,9,8,21,398,8,36,25000,12,21,1024,576
2023-08-30 13:42:35,2023,8,30,13,135,4,17,12300,4,20,1024,576
2023-08-26 13:30:55,2023,8,26,13,495,7,23,23000,4,0,0,0
2023-08-04 21:54:29,2023,8,4,21,5263,53,22,204100,83,29,1024,576
2023-07-29 13:58:03,2023,7,29,13,1580,21,17,66200,78,6,1024,576
2023-07-20 19:56:58,2023,7,20,19,161,4,10,11900,24,7,1024,576
2023-07-05 14:36:28,2023,7,5,14,113,3,9,9899,14,28,1024,576
2023-06-30 16:10:50,2023,6,30,16,91,2,12,8619,2,0,0,0
2023-06-21 11:49:24,2023,6,21,11,8343,132,27,352000,253,25,1024,576
2023-06-07 11:29:58,2023,6,7,11,784,4,20,440800,7,18,1024,576
2023-06-06 14:25:21,2023,6,6,14,3864,23,14,590200,54,58,960,540
2023-06-06 11:17:10,2023,6,6,11,9683,32,16,1100000,86,27,1024,576
2023-06-02 17:06:57,2023,6,2,17,8824,74,21,1200000,136,24,1024,576
2023-05-30 12:07:52,2023,5,30,12,86,2,4,7905,4,9,1024,576
2023-05-23 15:32:15,2023,5,23,15,809,10,10,22800,3,50,1280,720
2023-05-23 15:17:35,2023,5,23,15,77,2,7,5006,0,69,1024,576
2023-05-19 23:00:04,2023,5,19,23,669,6,8,12300,9,45,1280,720
2023-05-19 22:48:38,2023,5,19,22,257,369,12,9342,13,18,1024,576
2023-05-17 16:39:20,2023,5,17,16,26100,86,124,873100,79,59,1280,720
2023-05-15 17:40:30,2023,5,15,17,9520,24,39,788600,66,38,1280,720
2023-05-15 10:49:59,2023,5,15,10,5876,29,30,762700,54,34,1280,720
2023-05-15 10:31:35,2023,5,15,10,29600,101,51,1900000,66,21,1024,576
2023-05-11 12:02:04,2023,5,11,12,22600,78,71,2900000,182,75,1024,576
2023-05-08 10:53:54,2023,5,8,10,65,0,4,11500,3,15,1024,576
2023-05-04 14:25:33,2023,5,4,14,52900,307,86,3100000,206,33,1024,576
